,"BTC / Addresses, active, count","BTC / NVT, adjusted, 90d MA","BTC / NVT, adjusted, free float,  90d MA","BTC / NVT, adjusted","BTC / NVT, adjusted, free float","BTC / Flow, in, to exchanges, USD","BTC / Flow, out, from exchanges, USD","BTC / Fees, transaction, mean, USD","BTC / Fees, transaction, median, USD","BTC / Fees, total, USD","BTC / Miner revenue, USD","BTC / Capitalization, market, free float, USD","BTC / Capitalization, realized, USD","BTC / Capitalization, market, current supply, USD","BTC / Capitalization, market, estimated supply, USD","BTC / Volatility, daily returns, 30d","BTC / Volatility, daily returns, 180d","BTC / Difficulty, last","BTC / Difficulty, mean","BTC / Hash rate, mean","BTC / Hash rate, mean, 30d","BTC / Revenue, per hash unit, USD","BTC / Supply, Miner, held by all mining entities, USD","BTC / Block, size, mean, bytes","BTC / Block, weight, mean","BTC / Issuance, continuous, percent, daily",BTC / Network distribution factor,"BTC / Transactions, count","BTC / Transactions, transfers, count","BTC / Transactions, transfers, value, mean, USD",Google_btc_search,Wiki_btc_search,Close_^DJI,Close_^GSPC,Close_GC=F,Close_^VIX,Close_^IXIC,Close_SMH,Close_VGT,Close_XSD,Close_IYW,Close_FTEC,Close_IGV,Close_QQQ,Google_crypto_search,Wiki_crypto_search,RGDP_US,RGDP_PC_US,CPI_US,M2_US,USD_EUR_rate
2011-07-21,25378.0,30.21574140341416,30.21572811749838,49.8771458,49.87712387,2593.319536369224,1228.9754297283343,0.0151496809381619,0.0,120.60660994870668,103570.35076798516,93522611.00320113,47910773.5297027,93522652.12527928,,0.0392118790515606,0.0956205504121569,1690895.803052393,1690895.8030524,12.7763427153722,11.66439080586513,0.093824260852,30889552.90479542,24159.7828947368,96639.13157894736,0.11061463913519,0.488110176765,7961.0,24592.0,735.9065490273216,3.468649816418171,,12724.41015625,1343.800048828125,1586.800048828125,17.559999465942383,2834.429931640625,14.215547561645508,57.27786636352539,25.076616287231445,15.114555358886719,,59.63071823120117,52.504493713378906,0.0,,17031.313,54482.0,0.421637858003288,9244.6,1.4372
2011-07-22,24428.0,30.232117805451885,30.232104526926733,43.46717579,43.4671567,3723.792256610328,1224.9094420239878,0.0213011731292547,0.0068492736655464,190.00646431295232,103614.03881406436,94221991.65898263,47996226.32027099,94222033.04310413,,0.0392758762878452,0.0956197837493654,1690895.803052393,1690895.8030524,12.6922878290869,11.70965548268059,0.094485452623,31090440.633407675,25497.5165562914,101990.06622516556,0.109766292457771,0.487823575276,8920.0,23839.0,893.3325262980486,3.468649816418171,,12681.16015625,1345.02001953125,1601.300048828125,17.520000457763672,2858.830078125,14.45511245727539,57.964874267578125,25.85793685913086,15.3304443359375,,60.35862731933594,53.04742431640625,0.0,,17031.313,54482.0,0.421637858003288,9244.6,1.4366
2011-07-23,21547.0,30.080467445954557,30.080454248044298,64.36340023,64.36337199,2073.521258102709,2375.782504159155,0.0140622238938602,0.0,101.16363869243004,99977.70753886797,94206114.2630332,48100333.06564153,94206155.59631331,,0.0392676838867573,0.0954829241105974,1690895.803052393,1690895.8030524,12.2720133976602,11.76997344133215,0.094291731545,31054185.35805459,22285.9589041096,89143.83561643836,0.10601912716634,0.487735204049,7194.0,21178.0,414.7008495252319,3.468649816418171,,,,,,,,,,,,,,0.0,,17031.313,54482.0,0.421637858003288,9244.6,1.4366
2011-07-24,23903.0,30.611480848273,30.611467433549183,52.14512369,52.14510084,2266.5032128214875,1993.470249905234,0.0197191574698695,0.0,164.41833498377193,116302.29429997528,96462258.33740798,48252070.966271006,96462300.6096237,,0.0396422835071361,0.0954282114271364,1690895.803052393,1690895.80305239,13.953111123367,11.84880041533997,0.096472489706,31772796.88254413,22266.4337349398,89065.73493975903,0.120397165764264,0.487240658953,8338.0,23962.0,293.5299140083688,3.468649816418171,,,,,,,,,,,,,,0.0,,17031.313,54482.0,0.421637858003288,9244.6,1.4366
2011-07-25,26768.0,30.431812200476383,30.431798880428254,32.34825031,32.34823616,3521.8289327753296,1001.3761180370548,0.0163876129310277,0.0,150.02859638355952,115925.78797087225,96860062.77036178,48398075.62225232,96860105.16616964,,0.0396648465272682,0.0954347991585598,1690895.803052393,1690895.80305239,13.8690562370817,11.98429952543582,0.09674296752,31870828.718507357,25855.9575757576,103423.8303030303,0.119528839222163,0.486751945447,9155.0,26048.0,771.9713297610471,3.468649816418171,,12592.7998046875,1337.4300537109375,1612.0,19.350000381469727,2842.800048828125,14.318222999572754,57.80634689331055,25.27660369873047,15.27872085571289,,60.02863311767578,52.940616607666016,0.0,,17031.313,54482.0,0.421637858003288,9211.2,1.4357
2011-07-26,23317.0,29.909325180982243,29.909312106297328,41.5756721,41.57565393,6193.45100795581,4485.086719241378,0.0131781784562449,0.0,106.00526750203449,122232.68971168667,95909651.51728553,48529230.65090053,95909693.44364177,,0.037997569744931,0.0954615503152959,1690895.803052393,1690895.80305239,14.7936599862205,12.13690675639919,0.095630844991,31518955.36754797,21118.0113636364,84472.04545454546,0.127335079551629,0.487024151409,8044.0,22239.0,733.1211581002565,3.468649816418171,,12501.2998046875,1331.93994140625,1616.5999755859375,20.229999542236328,2839.9599609375,14.365277290344238,57.98251724243164,25.41147232055664,15.339441299438477,,60.04805374145508,53.07413101196289,0.0,,17031.313,54482.0,0.421637858003288,9211.2,1.4495
2011-07-27,23742.0,29.70978628057549,29.70977330944692,37.89998983,37.89997329,5024.933678599786,2593.127988587994,0.0159639880147393,0.0,125.33326990371827,120865.88863939552,96031721.94976684,48677291.26126731,96031763.87670444,,0.0376167156141855,0.0954374863963122,1690895.803052393,1690895.80305239,14.6255502136498,12.23820364793091,0.095648418535,31518013.40658663,21166.0689655172,84664.27586206897,0.125729811153434,0.486480356238,7851.0,24166.0,727.8155918642701,3.468649816418171,,12302.5498046875,1304.8900146484375,1615.0,22.979999542236328,2764.7900390625,13.894704818725586,56.220924377441406,24.467384338378906,14.876179695129395,,57.95166778564453,51.70344924926758,0.0,,17031.313,54482.0,0.421637858003288,9211.2,1.4373
2011-07-28,25905.0,28.798673502151026,28.798660942875745,41.84218819,41.84216994,2818.4465569995696,4169.873723261878,0.0127087147625204,0.0,101.94930982493916,104661.78014639686,93460932.54434782,48696607.66667023,93460973.30324222,,0.0376524943586404,0.0954740187630877,1690895.803052393,1690895.8030524,13.0285073742283,12.30683378430426,0.092977895421,30649579.06392248,23991.0064516129,95964.0258064516,0.111875392627593,0.489846005557,8022.0,23841.0,1956.2903887748485,3.468649816418171,,12240.1103515625,1300.6700439453125,1613.4000244140625,23.739999771118164,2766.25,13.81770133972168,56.21212387084961,24.32320785522461,14.891921997070312,,57.883724212646484,51.79243469238281,0.0,,17031.313,54482.0,0.421637858003288,9211.2,1.4303
2011-07-29,22490.0,28.81128641688378,28.81127386696345,52.49351947,52.49349661,4067.018832010244,2959.211751804227,0.0138429058992273,0.0,98.43690384940643,110899.43130285556,93715304.9828854,48825291.71018628,93715345.8043922,,0.0376892344081283,0.0953609114035194,1690895.803052393,1690895.80305239,13.7850013507964,12.37325637835565,0.093112666441,30692572.04836229,18934.8780487805,75739.51219512195,0.118231430987062,0.489367510592,7111.0,22293.0,394.68054523090217,3.468649816418171,,12143.240234375,1292.280029296875,1628.300048828125,25.25,2756.3798828125,13.715033531188965,55.718875885009766,24.086021423339844,14.781722068786621,,57.34992599487305,51.62334442138672,0.0,,17031.313,54482.0,0.421637858003288,9211.2,1.4388
2011-07-30,19350.0,28.79065343635116,28.790640909145704,65.21461962,65.21459124,2147.913137943089,470.44415950013695,0.0124237045567607,0.0,73.89619470361309,102980.02931615284,94012158.719423,48977741.06797053,94012199.62541156,,0.0371962595414135,0.0951924246881245,1690895.803052393,1690895.8030524,12.7763427153722,12.36263567156424,0.093289489333,30760642.069918662,16630.0394736842,66520.15789473684,0.10946040357685,0.488895355989,5948.0,18746.0,214.9712486066044,3.468649816418171,,,,,,,,,,,,,,0.0,,17031.313,54482.0,0.421637858003288,9211.2,1.4388
