,"LTC / Addresses, active, count","LTC / NVT, adjusted, 90d MA","LTC / NVT, adjusted, free float,  90d MA","LTC / NVT, adjusted","LTC / NVT, adjusted, free float","LTC / Fees, transaction, mean, USD","LTC / Fees, transaction, median, USD","LTC / Fees, total, USD","LTC / Miner revenue, USD","LTC / Capitalization, market, free float, USD","LTC / Capitalization, realized, USD","LTC / Capitalization, market, current supply, USD","LTC / Capitalization, market, estimated supply, USD","LTC / Volatility, daily returns, 30d","LTC / Volatility, daily returns, 180d","LTC / Difficulty, last","LTC / Difficulty, mean","LTC / Hash rate, mean","LTC / Block, size, mean, bytes","LTC / Block, weight, mean","LTC / Issuance, continuous, percent, daily",LTC / Network distribution factor,"LTC / Transactions, count","LTC / Transactions, transfers, count","LTC / Transactions, transfers, value, mean, USD",Google_ltc_search,Wiki_ltc_search,Close_^DJI,Close_^GSPC,Close_GC=F,Close_^VIX,Close_^IXIC,Close_SMH,Close_VGT,Close_XSD,Close_IYW,Close_FTEC,Close_IGV,Close_QQQ,Google_crypto_search,Wiki_crypto_search,RGDP_US,RGDP_PC_US,CPI_US,M2_US,USD_EUR_rate
2013-07-10,10684.0,45.71669335676591,45.7166728940283,62.42458905,62.42456111,0.0452028928854297,0.0002726037989479,186.86875918836668,80877.59324779164,52692121.7311127,35943251.83087483,52692145.31605433,,0.084079279761274,,874.0727920863974,874.072792086401,0.0257226333489586,4386.69425675676,17546.777027027027,0.153136153414536,0.812865696503,4134.0,10033.0,389.0826627491335,0.7419354838709677,,15291.66015625,1652.6199951171875,1247.4000244140625,14.210000038146973,3520.760009765625,16.652673721313477,68.515625,25.772197723388672,17.314903259277344,,68.70292663574219,66.98635864257812,0.0,,17860.45,56272.0,1.93763912918861,10706.1,1.2846
2013-07-11,11169.0,45.301091929001394,45.30107168229642,54.66300536,54.66298093,0.0545205681902101,0.0002683703971361,260.2811925400639,77148.39997205506,51950727.32974671,36062485.7146308,51950750.54842589,,0.0841261872750771,,923.1454207608224,882.380025910871,0.025133698979194,5187.75567190227,20751.022687609075,0.148001940237309,0.812247027764,4774.0,12501.0,338.58134472326685,0.7419354838709677,,15460.919921875,1675.02001953125,1280.0999755859375,14.010000228881836,3578.300048828125,17.094125747680664,69.69245910644531,26.362642288208008,17.637836456298828,,70.2138671875,68.31675720214844,0.0,,17860.45,56272.0,1.93763912918861,10706.1,1.3046
2013-07-12,10474.0,45.22077121876249,45.22075103610618,60.07061397,60.07058716,0.0712734574026979,0.0002664068267285,308.6140705536824,72238.45728726569,51642552.24362949,36040952.23493334,51642575.292425886,,0.0836520796457632,,923.1454207608224,923.145420760833,0.0247804961976246,5810.87777777778,23243.51111111111,0.139283997378925,0.811738186089,4330.0,11221.0,343.4290805258759,0.7419354838709677,,15464.2998046875,1680.18994140625,1277.800048828125,13.84000015258789,3600.080078125,17.155315399169922,69.8002700805664,26.532695770263672,17.653879165649414,,70.45758056640625,68.61747741699219,0.0,,17860.45,56272.0,1.93763912918861,10706.1,1.3048
2013-07-13,9812.0,43.89351699595302,43.89349743286644,76.03813389,76.0381,0.0380049206859955,0.0002580503285154,143.08852638277335,69687.65206130678,50092202.5242667,36098177.73339182,50092224.85008152,,0.0838418262082863,,923.1454207608224,923.145420760833,0.0247346063898512,4907.67161410019,19630.68645640074,0.138833049925533,0.811338307604,3765.0,9276.0,335.01945729921005,0.7419354838709677,,,,,,,,,,,,,,0.0,,17860.45,56272.0,1.93763912918861,10706.1,1.3048
2013-07-14,9294.0,46.12640270350598,46.12638217410689,23.98215341,23.98214274,0.0505160874613695,0.0002747206034652,172.76501911788418,75171.48976512431,53403200.961632006,36141846.31517844,53403224.72971382,,0.0840944742326808,,923.1454207608224,923.145420760833,0.0250558350442649,4375.97252747253,17503.89010989011,0.140438569254184,0.811011542461,3420.0,8516.0,1432.8132367303688,0.7419354838709677,,,,,,,,,,,,,,0.0,,17860.45,56272.0,1.93763912918861,10706.1,1.3048
2013-07-15,10515.0,49.57540026614847,49.57537823802855,84.75492164,84.75488398,0.0606133976115619,0.0002945113322033,263.062145634179,94653.94411682068,57344730.538881846,36331218.98723853,57344756.01920386,,0.0842346683412236,,883.7564644817458,901.822538032526,0.0287359284166749,4367.45553822153,17469.822152886114,0.164602465026752,0.81006084753,4340.0,10275.0,413.4791485115431,0.7419354838709677,,15484.259765625,1682.5,1283.800048828125,13.789999961853027,3607.489990234375,17.159685134887695,70.06975555419922,26.745264053344727,17.74777603149414,,70.63304901123047,68.77239990234375,0.0,,17860.45,56272.0,1.93763912918861,10702.3,1.3039
2013-07-16,11199.0,48.91767936245203,48.91765766146545,65.12970442,65.12967553,0.0427151891283959,0.0002903097583153,198.32662312314267,91065.28097583084,56617502.92062269,36496137.26503867,56617528.03743593,,0.0841786674632494,,883.7564644817458,883.756464481748,0.0275012893573337,5044.10702875399,20176.428115015973,0.160492620399509,0.80986747522,4643.0,11035.0,375.6641192533656,0.7419354838709677,,15451.849609375,1676.260009765625,1290.800048828125,14.420000076293945,3598.5,17.26457977294922,70.0787353515625,26.79722785949707,17.75235939025879,,70.4380874633789,68.68130493164062,0.0,,17860.45,56272.0,1.93763912918861,10702.3,1.3144
2013-07-17,10960.0,47.60404049807569,47.60401941368785,84.86304412,84.86300653,0.0363526173772028,0.000282,155.9527285482,88421.9527285482,55085162.81898939,36590154.86915766,55085187.21686485,,0.0844788028954738,,883.7564644817458,883.756464481748,0.0275012893573337,3909.00479233227,15636.019169329073,0.160235454320062,0.809819599745,4290.0,10369.0,390.47720852359504,0.7419354838709677,,15470.51953125,1680.9100341796875,1277.9000244140625,13.779999732971191,3610.0,17.290807723999023,70.1955337524414,26.943660736083984,17.77068328857422,,70.63304901123047,68.85441589355469,0.0,,17860.45,56272.0,1.93763912918861,10702.3,1.3094
2013-07-18,10345.0,43.57866561874807,43.57864634654829,83.16869992,83.16866314,0.0501676980449064,0.0002561318112711,193.9483206416087,76265.09626818386,50108207.76850053,36657219.05069017,50108229.92833044,,0.0827989763517172,,957.5074896856584,905.732780072813,0.0267443871016293,4622.29292929293,18489.17171717172,0.151813680220488,0.810370955628,3866.0,9483.0,359.1915862064244,0.7419354838709677,,15548.5400390625,1689.3699951171875,1284.5999755859375,13.770000457763672,3611.280029296875,16.92803382873535,70.03382873535156,26.78305435180664,17.74777603149414,,70.69154357910156,68.68130493164062,0.0,,17860.45,56272.0,1.93763912918861,10702.3,1.3078
2013-07-19,10057.0,47.74525561620202,47.74523452988123,79.90182267,79.90178739,0.0439318673222371,0.0002799228813559,171.46607815869166,74211.0681968027,54836600.4434564,36745597.74875675,54836624.6616252,,0.0835226213073915,,957.5074896856584,957.507489685665,0.0251793184513874,4126.57088846881,16506.283553875237,0.135018525621357,0.810219117403,3903.0,9487.0,424.3142186475037,0.7419354838709677,,15543.740234375,1692.0899658203125,1293.300048828125,12.539999961853027,3587.610107421875,16.86247444152832,68.8749771118164,26.7783260345459,17.411096572875977,,69.91168975830078,67.97049713134766,0.0,,17860.45,56272.0,1.93763912918861,10702.3,1.3142
2013-07-20,9954.0,47.72661429910459,47.72659325072515,34.56144854,34.56143329,0.0564273356739962,0.0002799,237.22051917348,77629.57051917347,54909510.35969904,36915533.81403947,54909534.5758882,,0.0824526874923751,,957.5074896856584,957.507489685665,0.0263216693830193,4350.66184448463,17402.647377938516,0.140945193940843,0.809215734959,4204.0,10573.0,456.5873794411877,0.7419354838709677,,,,,,,,,,,,,,0.0,,17860.45,56272.0,1.93763912918861,10702.3,1.3142
