,BTC / Active Addr Cnt,BTC / Tx Cnt,BTC / Miner Revenue per Hash (USD),BTC / Mean Hash Rate,BTC / 30 Day Volatility,BTC / Realized Market Cap (USD),BTC / Mean Tx Fee (USD),BTC / Exchange Withdrawals (USD),BTC / Exchange Deposits (USD),BTC / NVT,ETH / NVT,ETH / Exchange Deposits (USD),ETH / Exchange Withdrawals (USD),ETH / Mean Tx Fee (USD),ETH / Realized Market Cap (USD),ETH / 30 Day Volatility,ETH / Mean Hash Rate,ETH / Miner Revenue per Hash (USD),ETH / Tx Cnt,ETH / Active Addr Cnt,LTC / NVT,LTC / Mean Tx Fee (USD),LTC / Realized Market Cap (USD),LTC / 30 Day Volatility,LTC / Mean Hash Rate,LTC / Tx Cnt,LTC / Active Addr Cnt
2013-03-11,,,,,,,,,,,,,,,,,,,,,12.55283131,,0.0,,0.0016162917418581,13112.0,15908.0
2013-03-12,,,,,,,,,,,,,,,,,,,,,28.3547185,,0.0,,0.0018675277555487,3099.0,5984.0
2013-03-13,,,,,,,,,,,,,,,,,,,,,11.14192317,,0.0,,0.0023786951030122,3535.0,7006.0
2013-03-14,,,,,,,,,,,,,,,,,,,,,20.72992417,,0.0,,0.0026953996468678,3585.0,6952.0
2013-03-15,,,,,,,,,,,,,,,,,,,,,36.84514751,,0.0,,0.0026335027764346,3035.0,6111.0
2013-03-16,,,,,,,,,,,,,,,,,,,,,32.7501831,,0.0,,0.0027004917182835,3158.0,5950.0
2013-03-17,,,,,,,,,,,,,,,,,,,,,18.29721096,,0.0,,0.0028834169904675,3034.0,5992.0
2013-03-18,,,,,,,,,,,,,,,,,,,,,19.53508859,,0.0,,0.0028009405055334,2757.0,5541.0
2013-03-19,,,,,,,,,,,,,,,,,,,,,20.70274919,,0.0,,0.002203470261179,2953.0,5723.0
2013-03-20,,,,,,,,,,,,,,,,,,,,,24.1028688,,0.0,,0.0018306488287018,2920.0,5537.0
2013-03-21,,,,,,,,,,,,,,,,,,,,,20.36976095,,0.0,,0.0015725416831407,3188.0,6214.0
2013-03-22,,,,,,,,,,,,,,,,,,,,,25.4556913,,0.0,,0.001308074999447,2473.0,4745.0
2013-03-23,,,,,,,,,,,,,,,,,,,,,40.39312734,,0.0,,0.0019231458593334,3228.0,5962.0
2013-03-24,,,,,,,,,,,,,,,,,,,,,32.75233671,,0.0,,0.0021754735075438,3792.0,6408.0
2013-03-25,,,,,,,,,,,,,,,,,,,,,37.73316326,,0.0,,0.0027880735552999,5002.0,8511.0
2013-03-26,,,,,,,,,,,,,,,,,,,,,40.96909197,,0.0,,0.0027210594542108,4310.0,7469.0
2013-03-27,,,,,,,,,,,,,,,,,,,,,35.04677464,,0.0,,0.002845628699611,4383.0,7708.0
2013-03-28,,,,,,,,,,,,,,,,,,,,,19.92470534,,0.0,,0.0026050974944717,4223.0,7892.0
2013-03-29,,,,,,,,,,,,,,,,,,,,,36.70868276,,0.0,,0.0026491875855008,3979.0,7253.0
2013-03-30,,,,,,,,,,,,,,,,,,,,,27.45217672,,0.0,,0.0027878634699404,4530.0,8237.0
2013-03-31,,,,,,,,,,,,,,,,,,,,,23.09765624,,0.0,,0.0032230188314577,4450.0,8551.0
2013-04-01,,,,,,,,,,,,,,,,,,,,,8.86264504,0.0986020717526016,1675822.920935123,,0.0036871668932757,6429.0,11649.0
2013-04-02,,,,,,,,,,,,,,,,,,,,,7.63857998,0.2929067692829725,8420662.58952257,,0.0045082550794027,9900.0,17131.0
2013-04-03,,,,,,,,,,,,,,,,,,,,,15.28427079,0.2866189278347644,10579891.710164804,,0.0055900502694694,9891.0,17130.0
2013-04-04,,,,,,,,,,,,,,,,,,,,,19.8596724,0.3737865587871928,12250484.041510196,,0.0058780287437372,9942.0,16542.0
2013-04-05,,,,,,,,,,,,,,,,,,,,,22.33334518,0.2630193092119592,12684334.683341833,,0.0059846251199189,9281.0,16353.0
2013-04-06,,,,,,,,,,,,,,,,,,,,,21.05202065,0.280704507853789,13489747.93362183,,0.0060409937603027,8701.0,15452.0
2013-04-07,,,,,,,,,,,,,,,,,,,,,34.11945347,0.2168269035366073,13752774.716008965,,0.0060863778618112,8268.0,14854.0
2013-04-08,,,,,,,,,,,,,,,,,,,,,22.82710843,0.302737898825285,14940612.890404323,,0.0077946553457147,10799.0,18773.0
2013-04-09,,,,,,,,,,,,,,,,,,,,,25.50508899,0.3109095986993601,16349272.78033908,,0.0077575673783987,9447.0,17452.0
2013-04-10,,,,,,,,,,,,,,,,,,,,,23.97847943,0.2503093025785889,16435558.000594636,,0.0085078139684849,11404.0,19863.0
2013-04-11,,,,,,,,,,,,,,,,,,,,,20.66541789,0.2108306583262642,16974348.214043096,,0.0088960538729293,10703.0,18429.0
2013-04-12,,,,,,,,,,,,,,,,,,,,,14.24700658,0.0874322298672759,15492850.585156536,,0.0080060671743843,7940.0,14800.0
2013-04-13,,,,,,,,,,,,,,,,,,,,,36.40296154,0.1843311749759751,17566674.687685024,,0.0099164402159951,9995.0,17192.0
2013-04-14,,,,,,,,,,,,,,,,,,,,,50.2164686,0.1447383175893327,18161360.09514968,,0.0098435252144069,8989.0,15873.0
2013-04-15,,,,,,,,,,,,,,,,,,,,,42.50777068,0.1261688108550311,18192984.786968533,,0.010014375360333,8290.0,15658.0
2013-04-16,,,,,,,,,,,,,,,,,,,,,40.83447973,0.1167038388692088,18097179.39501296,,0.010397320109873,8034.0,14819.0
2013-04-17,,,,,,,,,,,,,,,,,,,,,51.62989739,0.1640049765100924,18221484.482712973,,0.0109919118317668,8714.0,15672.0
2013-04-18,,,,,,,,,,,,,,,,,,,,,55.16294228,0.1469072332901791,18275077.862544183,,0.0107330928170709,7766.0,14150.0
2013-04-19,,,,,,,,,,,,,,,,,,,,,39.74604689,0.1802087771177049,18548180.38504891,,0.0100161781834408,7771.0,14458.0
2013-04-20,,,,,,,,,,,,,,,,,,,,,64.67543984,0.2149806996642568,18662470.189004857,,0.0109399125186225,6785.0,12493.0
2013-04-21,,,,,,,,,,,,,,,,,,,,,36.92844919,0.1766308907318497,18867839.257410545,,0.0115093259549418,7728.0,15029.0
2013-04-22,,,,,,,,,,,,,,,,,,,,,47.0069338,0.1842706162223444,19021660.311164897,,0.0121151342799774,7852.0,14870.0
2013-04-23,,,,,,,,,,,,,,,,,,,,,61.7937438,0.2501604666245741,19183388.304085024,,0.0109408981882257,8033.0,14695.0
2013-04-24,,,,,,,,,,,,,,,,,,,,,44.38950054,0.2449599029014822,19602292.52359197,,0.0115994053957575,8521.0,15771.0
2013-04-25,,,,,,,,,,,,,,,,,,,,,19.62881317,0.3021022866454345,21712767.45845534,,0.0117924981836978,9292.0,17830.0
2013-04-26,,,,,,,,,,,,,,,,,,,,,57.26388466,0.2780880725855388,22183425.91157203,,0.0128389314696232,7900.0,15423.0
2013-04-27,,,,,,,,,,,,,,,,,,,,,41.92913626,0.2834511501539166,22965511.93291692,,0.0130804160740675,9215.0,17413.0
2013-04-28,,,,,,,,,,,,,,,,,,,,,32.25255469,0.3027240396797559,24181222.57503604,,0.0136763300322354,8964.0,16969.0
