,ETH / NVT,ETH / Exchange Deposits (USD),ETH / Exchange Withdrawals (USD),ETH / Mean Tx Fee (USD),ETH / Realized Market Cap (USD),ETH / 30 Day Volatility,ETH / Mean Hash Rate,ETH / Miner Revenue per Hash (USD),ETH / Tx Cnt,ETH / Active Addr Cnt,Google_eth_search,Wiki_eth_search,Close_^DJI,Close_^GSPC,Close_GC=F,Close_^VIX,Close_^IXIC,Close_SMH,Close_VGT,Close_XSD,Close_IYW,Close_FTEC,Close_IGV,Close_QQQ,Google_crypto_search,Wiki_crypto_search,RGDP_US,RGDP_PC_US,CPI_US,M2_US,USD_EUR_rate,ETH-USD
2011-01-03,,,,,,,,,,,0.7272727272727273,,11670.75,1271.8699951171875,1422.5999755859375,17.610000610351562,2691.52001953125,13.922832489013672,54.38062286376953,25.6293888092041,14.547117233276367,,11.481629371643066,48.6873664855957,0.0,,16920.632,54341.0,0.1681342,8910.6,1.3371,
2011-01-04,,,,,,,,,,,0.7272727272727273,,11691.1796875,1270.199951171875,1378.5,17.3799991607666,2681.25,13.931351661682129,54.45054626464844,25.888551712036133,14.580623626708984,,11.438925743103027,48.65213394165039,0.0,,16920.632,54341.0,0.1681342,8910.6,1.3306,
2011-01-05,,,,,,,,,,,0.7272727272727273,,11722.8896484375,1276.56005859375,1373.4000244140625,17.020000457763672,2702.199951171875,13.905797004699707,54.83510208129883,26.18010902404785,14.663260459899902,,11.572861671447754,49.06587600708008,0.0,,16920.632,54341.0,0.1681342,8910.6,1.3171,
2011-01-06,,,,,,,,,,,0.7272727272727273,,11697.3095703125,1273.8499755859375,1371.4000244140625,17.399999618530273,2709.889892578125,14.008014678955078,55.30706024169922,26.587364196777344,14.79951286315918,,11.625273704528809,49.224327087402344,0.0,,16920.632,54341.0,0.1681342,8910.6,1.3027,
2011-01-07,,,,,,,,,,,0.7272727272727273,,11674.759765625,1271.5,1368.5,17.139999389648438,2703.169921875,13.982460021972656,55.17597198486328,26.726205825805664,14.752606391906738,,11.534039497375488,49.180294036865234,0.0,,16920.632,54341.0,0.1681342,8910.6,1.2944,
2011-01-08,,,,,,,,,,,0.7272727272727273,,,,,,,,,,,,,,0.0,,16920.632,54341.0,0.1681342,8910.6,1.2944,
2011-01-09,,,,,,,,,,,0.7272727272727273,,,,,,,,,,,,,,0.0,,16920.632,54341.0,0.1681342,8910.6,1.2944,
2011-01-10,,,,,,,,,,,0.7272727272727273,,11637.4501953125,1269.75,1373.699951171875,17.540000915527344,2707.800048828125,14.020791053771973,55.35077667236328,27.073291778564453,14.81291675567627,,11.586450576782227,49.36514663696289,0.0,,16920.632,54341.0,0.1681342,8909.7,1.2945,
2011-01-11,,,,,,,,,,,0.7272727272727273,,11671.8798828125,1274.47998046875,1384.0,16.889999389648438,2716.830078125,14.127266883850098,55.44691467285156,27.10569190979004,14.833013534545898,,11.56315803527832,49.43558883666992,0.0,,16920.632,54341.0,0.1681342,8909.7,1.2978,
2011-01-12,,,,,,,,,,,0.7272727272727273,,11755.4404296875,1285.9599609375,1385.699951171875,16.239999771118164,2737.330078125,14.27633285522461,55.953826904296875,27.62864875793457,14.964787483215332,,11.62332820892334,49.78767395019531,0.0,,16920.632,54341.0,0.1681342,8909.7,1.3066,
2011-01-13,,,,,,,,,,,0.7272727272727273,,11731.900390625,1283.760009765625,1386.9000244140625,16.389999389648438,2735.2900390625,14.28059196472168,55.90139389038086,27.72120475769043,14.962559700012207,,11.62721061706543,49.805294036865234,0.0,,16920.632,54341.0,0.1681342,8909.7,1.3364,
2011-01-14,,,,,,,,,,,0.7272727272727273,,11787.3798828125,1293.239990234375,1360.4000244140625,15.460000038146973,2755.300048828125,14.655388832092285,56.43452453613281,28.151594161987305,15.109977722167969,,11.726210594177246,50.17499923706055,0.0,,16920.632,54341.0,0.1681342,8909.7,1.3328,
2011-01-15,,,,,,,,,,,0.7272727272727273,,,,,,,,,,,,,,0.0,,16920.632,54341.0,0.1681342,8909.7,1.3328,
2011-01-16,,,,,,,,,,,0.7272727272727273,,,,,,,,,,,,,,0.0,,16920.632,54341.0,0.1681342,8909.7,1.3328,
2011-01-17,,,,,,,,,,,0.7272727272727273,,,,,,,,,,,,,,0.0,,16920.632,54341.0,0.1681342,8932.8,,
