,"ETH / Addresses, active, count","ETH / NVT, adjusted, 90d MA","ETH / NVT, adjusted, free float,  90d MA","ETH / NVT, adjusted","ETH / NVT, adjusted, free float","ETH / Flow, in, to exchanges, USD","ETH / Flow, out, from exchanges, USD","ETH / Fees, transaction, mean, USD","ETH / Fees, transaction, median, USD","ETH / Fees, total, USD","ETH / Miner revenue, USD","ETH / Capitalization, market, free float, USD","ETH / Capitalization, realized, USD","ETH / Capitalization, market, current supply, USD","ETH / Capitalization, market, estimated supply, USD","ETH / Volatility, daily returns, 30d","ETH / Volatility, daily returns, 180d","ETH / Difficulty, last","ETH / Difficulty, mean","ETH / Hash rate, mean","ETH / Revenue, per hash unit, USD","ETH / Block, size, mean, bytes","ETH / Issuance, continuous, percent, daily",ETH / Network distribution factor,"ETH / Transactions, count","ETH / Transactions, transfers, count","ETH / Transactions, transfers, value, mean, USD"
2016-04-22,12957.0,82.83357449323206,80.05612983643056,121.77186245,117.68880059,1919151.44644468,1241499.1395157366,0.0051357312059865,0.0033208304293395,162.68969314330622,249831.56703528005,606231011.7650188,340952514.7116192,627263418.5008229,,0.0553845245386234,0.0841037717257666,30197835381006.0,29740314823372.9,2.07776643052379,1.391671855137,1290.76968993533,0.0398028754711779,0.794720012658,31678.0,31092.0,192.0967709246084
2016-04-23,12726.0,87.55574129841203,84.62113278073959,83.50411866,80.70530851,4353054.259285354,1144206.806553831,0.0051549888058876,0.0035332404931735,164.16061852353255,266785.80064636486,645273948.7415626,343906140.3003655,667651649.9608985,,0.0544072371975954,0.0838403425712946,30921984757890.0,30869146732545.2,2.16198022448744,1.428227040941,1270.27697901173,0.0399342441591294,0.795385855929,31845.0,31434.0,272.7264089028719
2016-04-24,12833.0,83.58416486575545,80.78378305931213,257.02889673,248.41746839,1063455.649235711,684380.1585522821,0.0052888638052883,0.0033632974811221,180.06465711493314,252377.3266716165,614489538.4872384,343560166.75757873,635790909.3646832,,0.0544657136632538,0.0831526576759634,30184556615651.0,30604025165804.9,2.11848949497052,1.37882858539,1433.01788998495,0.0396666983279945,0.79534895228,34046.0,33510.0,90.5031678669545
2016-04-25,13365.0,78.33354135480228,75.7101369676567,134.75134966,130.23850273,1730325.744497419,1739073.0506563871,0.0050644965541454,0.0031582525601168,179.43511291344618,241848.02805474465,577268580.1240793,343375750.6599253,597271303.4886637,,0.0547274736556234,0.0824302620599732,31873040610285.0,31524069461264.9,2.22703580226765,1.256902555641,1398.70265399738,0.040462113537055,0.794613959945,35430.0,32246.0,168.11070353091233
2016-04-26,13516.0,76.9249832661458,74.34976615607377,79.45520841,76.79528697,2278686.3862505765,2246234.7121513183,0.0049408259696267,0.0031216233183401,160.98199174243618,232705.6607533006,570805995.1420585,343112547.6777332,590576728.0067167,,0.0540664717383113,0.0815274001146446,30644557453320.0,31493382681039.4,2.17036026930003,1.240970263376,1344.46572580645,0.0393758622264766,0.794769397873,32582.0,31707.0,284.8378196510841
2016-04-27,13354.0,80.32598628371622,77.63799210472857,125.21613668,121.02595786,1388898.6853722115,1783933.7047372265,0.0047084382122297,0.0032730285358386,159.3665081693995,248558.85360307025,598739671.4965452,343100135.805452,619469325.9876188,,0.0498371839287448,0.0814439792972028,32012267370198.0,31083174173487.4,2.18110492110664,1.31898220738,1313.78571428571,0.040098754962383,0.794665964712,33847.0,32513.0,186.75523409734123
2016-04-28,13144.0,74.49087686204973,71.9991393910023,120.30799331,116.28366244,989807.8963154474,1882868.7392598807,0.0047817883910898,0.0030466870744593,164.22095871527355,229989.6096171898,557564537.9157366,327702002.8657202,576860663.7222838,,0.0508459841730177,0.0796441224578179,32667462530832.0,32024006272663.5,2.23492266165702,1.191055432765,1407.93034825871,0.0398407107836909,0.793960327608,34343.0,32703.0,170.2534740431419
2016-04-29,15158.0,76.35936169007608,73.8061402157596,149.87201125,144.86075357,696517.2310284341,1099359.068538495,0.0046766555527632,0.0031289331677147,174.58890509585,236212.32070694317,572852172.3033788,327138097.8278411,592669201.9388285,,0.0511323237121217,0.0793298194485306,33092446430869.0,32660935988733.3,2.27979557357129,1.199203528932,1423.20696517413,0.0398262185768529,0.794248799804,37332.0,34518.0,126.67878312995526
2016-04-30,19807.0,87.99105743172316,85.05008690871286,32.85229232,31.7542532,7593990.939319331,3521540.5074231294,0.0061939725883247,0.0037031886755698,283.4919313952063,281476.4722158203,678269364.5201716,334365378.6332942,701723428.8276643,,0.0608896856103449,0.0801842843303116,34401336525063.0,33709009937441.5,2.36349766968506,1.378393379152,1588.10647078244,0.0400717674132956,0.79516885992,45769.0,39057.0,605.2075059444811
2016-05-01,15667.0,86.14441645304379,83.2662885612396,50.93019261,49.22858949,1990497.3523688049,2265002.802369265,0.008141458838821,0.0036874945100409,322.22265792308286,272574.0029680791,675667101.2237298,338246195.09987545,699021766.8778414,,0.0606226260007209,0.0801179063009824,32432433259410.0,34484421796504.7,2.37202674415925,1.329998369027,1680.53416358129,0.0389475397205669,0.795340048884,39578.0,36416.0,418.9840832906075
2016-05-02,17759.0,96.89477863295006,93.65877283388404,49.62431722,47.96700832,4464918.274223975,3677631.0799606,0.0066166759094061,0.0042299261689304,276.2329858660619,321671.94016221096,775379350.41581,347599094.23617303,802169495.0920799,,0.066271959123465,0.0778191053420454,34229092701507.0,32280889382512.4,2.27227019784732,1.638473657981,1480.21069078947,0.0400658101738775,0.795378955801,41748.0,40413.0,466.694401659544
2016-05-03,15057.0,88.9681716785435,85.99807726095783,67.82214251,65.55798261,2191475.6968997656,2709613.31303731,0.0066444571224006,0.0039322694311981,251.30001282644577,297927.6069093748,721114162.329232,347369553.6545146,746019104.581335,,0.0674238953124548,0.077865203094835,35065295125416.0,34161609204974.6,2.39511919426543,1.439692938596,1446.31235546746,0.0399019683368033,0.795444138186,37821.0,36714.0,343.7437180537846
2016-05-04,14731.0,88.0035730511541,85.06684003234291,71.0787018,68.70676208,2882376.8900871314,2982985.531230453,0.0068353256301065,0.0039384929038106,256.21534591904293,295256.36686437804,722550445.9859288,348149114.125077,747494804.4654124,,0.0671049324980237,0.0776520435201497,34260186346568.0,34166289192929.4,2.3651211397736,1.444881195919,1497.95719063545,0.0394651775177802,0.795936509534,37484.0,35975.0,317.62898432773403
2016-05-05,14974.0,90.7628077800248,87.73520432011168,83.9723068,81.17121622,1600666.349373594,2330693.945414115,0.0078567156147079,0.0041023583705435,304.1098912986373,310679.26506268984,752923352.4090879,350766833.33141184,778905549.2303998,,0.0666931529163944,0.0775324324534094,34537171246968.0,33872427102189.1,2.3672421497408,1.518993241781,1485.98326983601,0.0398475983998392,0.79550322168,38707.0,36105.0,297.1992797432437
2016-05-06,14813.0,85.33085701819186,82.48558137514242,43.77700789,42.31730552,3092655.327485153,4167209.360068088,0.0079911947985898,0.0039379777997077,329.8046005328492,297941.59780054627,723051495.9877912,372713316.733378,747992592.0667297,,0.0668166294588344,0.0774086598587364,33944291108047.0,34080544388464.0,2.37534533856879,1.451746012127,1625.26320159415,0.0397880669349547,0.794537123501,41271.0,36982.0,520.4009232008463
2016-05-07,14378.0,84.25584797299233,81.44752892817284,54.08658027,52.28382857,1325523.9036241996,2560226.3841809668,0.0063430863110625,0.0039436125243717,227.48844746005972,296685.03888449294,724382544.4640694,374294544.8532272,749359327.9481609,,0.0659709138282801,0.077405506898537,33655992760662.0,34085336706042.1,2.36251025560992,1.453477126105,1374.83266533066,0.0395614679607406,0.794684272082,35864.0,34625.0,424.5194918685111
2016-05-08,14903.0,84.47436249132912,81.65988335774674,63.95525195,61.82441939,1987046.5545802,2073135.8085588575,0.0068550144616698,0.0039910736879018,274.63244437803206,302923.6299047451,733403098.2223773,377026695.5359812,758680475.9453979,,0.0656682860938936,0.0769351111400076,34697990053281.0,34463404033410.1,2.4134874512638,1.452694742402,1530.22822673938,0.0398914967573448,0.795138469122,40063.0,38600.0,346.5211449461366
2016-05-09,15448.0,81.88491153346783,79.25006165217951,41.60372355,40.26502068,2691737.4534834544,3476362.0107436725,0.0063911764029596,0.0039293386935359,246.44376209823585,297766.6725406237,723198144.4842354,377087048.1886854,747242523.824978,,0.064633913120002,0.0755306755898192,35616128660185.0,34882607577232.3,2.44030050114279,1.412274235555,1459.58173395103,0.0398157518198485,0.796130136584,38560.0,36889.0,528.7846889014684
2016-05-10,15518.0,81.41222629425836,78.79362555320395,44.01265885,42.59700439,2733183.084329153,3850065.000851733,0.0063949934688422,0.0039446688084161,260.173914286529,297997.5533280945,726317402.6081759,378773924.6803767,750455589.8708782,,0.0644297016438375,0.0747395460547201,36204023794590.0,35703011453119.7,2.48435262886731,1.388307648454,1481.18063872255,0.0396742170266246,0.796479079895,40684.0,39448.0,481.70753628771473
2016-05-11,17098.0,84.20496387797084,81.49759449358697,28.10728396,27.20357476,7427453.342667416,6114080.253107981,0.0076968423415036,0.0041714160801285,314.1158327992909,310718.3734024861,768377950.5247774,393344441.5513163,793903647.961775,,0.065025949475744,0.0748043127182714,34183799937063.0,34839727897735.5,2.38605609417996,1.507205752081,1558.5437943862,0.0390984798176204,0.799016543519,40811.0,38755.0,774.8612904599432
2016-05-12,18113.0,83.62487469496834,80.93724099469601,26.86521209,26.00178659,3135678.171945755,6914799.705693723,0.0088001850647931,0.0042363762267562,396.0259282860666,325760.1219597961,780669022.0383326,398241772.8664777,806592223.1087317,,0.0582637326219242,0.0747563212189916,36167294246319.0,34608512198165.7,2.44282184186699,1.543449349159,1679.38481718314,0.0403381146891679,0.800179465008,45002.0,43153.0,752.9396110657495
2016-05-13,18920.0,80.17345461073579,77.59778370673654,9.48092212,9.17633582,10820510.269496825,19221684.56196333,0.0095919297440624,0.0044528345670017,457.9091340520557,341807.1048341319,820898783.3453609,416241167.2579461,848146534.6391581,,0.057627649651298,0.0747905413785836,37288679261920.0,36814650249264.4,2.58452374814782,1.530688488829,1674.22213060686,0.0402464882846342,0.803453335377,47739.0,45637.0,2067.026878676343
2016-05-14,16806.0,73.3104392933367,70.95618314360091,14.23584043,13.7786775,7185408.010891457,14449903.92667818,0.0079293331449997,0.0042973130485564,362.7273447182669,324378.2127625456,792551752.7016658,424091936.57035166,818847837.9068921,,0.0576620866171835,0.0748776442743661,36952594428255.0,36846069041979.3,2.54132887127408,1.477328457945,1682.89157435381,0.0395696819870788,0.803934981551,45745.0,44003.0,1395.1097825408008
2016-05-15,16252.0,70.78432653333819,68.51209041941503,56.90799112,55.08119698,1102046.7597810598,4176558.020742149,0.0072539209791297,0.0041918974240677,312.44813833419005,317753.54938689055,773427371.2424891,435689888.8214628,799078458.4254284,,0.0575697145583224,0.0747177231837196,37144077640852.0,37114899680921.3,2.58409556462364,1.42320708578,1539.68844555278,0.0397258989904532,0.803570012333,43073.0,39529.0,376.5852097996657
2016-05-16,15620.0,78.08929876557971,75.58355325943175,58.82966166,56.94192336,2978562.231927941,4533756.048465172,0.0081961827518847,0.0046679543134891,306.73394330670715,350566.54692875576,861612659.2775542,460073608.65112346,890176837.0109624,,0.0601247845310687,0.0750415778448187,36363021340583.0,37376623466503.1,2.57880226271788,1.57339833329,1491.40882402281,0.0393472171396362,0.804247339255,37424.0,38054.0,451.73792790912574
2016-05-17,17239.0,84.74523773607547,82.02700762998636,72.53415262,70.2075969,2979891.090862455,3961034.8436751016,0.0086060024673037,0.0051181744686733,346.89935345472645,392645.0711468927,945106753.0362442,475821690.79640144,976425921.0005292,,0.0604298239040414,0.0750742285585823,37913214547840.0,36463139572998.2,2.56217884339807,1.773686934456,1515.02701367155,0.0401769518153979,0.803570335729,40309.0,40625.0,400.4560842930137
2016-05-18,19994.0,91.54746932643968,88.6122425641632,51.56826733,49.91486763,5474446.857940191,7174749.383541359,0.0101835533356565,0.0056141186553594,468.7795107006192,433616.4133268015,1037119467.3368475,511332010.2528384,1071473420.3360708,,0.0616137575409667,0.0752516411669399,39069084425467.0,37900960505086.8,2.66007065463155,1.886682400274,1688.83968332509,0.0404254203226286,0.802997764984,46033.0,46585.0,539.2676054393354
2016-05-19,19769.0,96.5174684291743,93.42412300178424,35.49977952,34.36202609,17151576.12151231,7358070.547944928,0.010791056148249,0.0060881297002337,480.4501928887422,462940.48984423926,1125147957.3360832,538215490.1019905,1162402481.939931,,0.0623344986656431,0.0753853699052858,39462878552522.0,39517401677763.8,2.74893322781301,1.949158847197,1576.22675095658,0.0397848461988444,0.803415691588,44523.0,45753.0,852.7288196665327
2016-05-20,20056.0,89.02111204954076,86.16916304311026,40.0938357,38.80935865,6507417.366274929,6955518.845813829,0.0114944345698167,0.0057352341771128,519.2840705608935,438714.2185535832,1060367489.6363984,529547486.355444,1095462573.5587845,,0.0633785500498513,0.0755905366372092,40152934901839.0,40047746083289.5,2.79836303117241,1.814528996533,1677.15438131522,0.0400009041896773,0.803344378554,45177.0,45595.0,717.7122726747184
2016-05-21,19027.0,90.59266990272408,87.69152455894698,101.21087057,97.9696873,3533855.313873464,3463413.7671752907,0.0114955819934453,0.0058829299892226,501.44878213641766,446424.4779391796,1088120377.4171844,535439298.41066456,1124119242.5559793,,0.0624334190805302,0.0754244126948191,38754146451076.0,40654525787850.1,2.81447168570668,1.835850757493,1672.66995485705,0.0396686590065944,0.802726083983,43621.0,42768.0,340.92608552696134
2016-05-22,16248.0,91.7038077812397,88.76825929817808,147.08206287,142.37379026,2637505.8223268325,2536471.865444655,0.0105608761328986,0.0059745423188661,410.7652771893476,459312.5157691463,1105524108.1713076,540237832.2142354,1142083568.0997615,,0.061760745390951,0.0753991565386055,40803193119414.0,40058981490722.8,2.82123793787488,1.884320712299,1493.91995397765,0.0401811008677319,0.801706223826,38895.0,38754.0,248.32253961190895
2016-05-23,18526.0,85.15193286847173,82.42720646908465,74.79491717,72.4015988,3955252.5136085134,3374745.0644500046,0.0090230867423834,0.005601982479696,395.2653378371305,428288.3586418842,1037013853.0422224,531568628.8262631,1071293542.2729144,,0.0630639741275574,0.0754996609462631,40732356704929.0,40332255283090.5,2.80752508205611,1.765626679408,1568.38400133045,0.0399417224522988,0.801697369581,43806.0,43807.0,388.211724535456
2016-05-24,17641.0,80.44566238388421,77.87255441950786,58.13624847,56.27672193,5332308.356067826,5509802.349230019,0.008498879469987,0.0053564523221975,364.6954169368466,408517.19582051807,991970564.8092,520743799.8080192,1024747804.232825,,0.0629108763267824,0.0756033210226987,40841540510846.0,41104663045274.6,2.85963276262596,1.653431988455,1528.31713810316,0.039829555986133,0.801093012507,42911.0,43291.0,529.7311660146016
2016-05-25,18653.0,78.09548788575275,75.69571162758402,54.41230547,52.74028366,4112852.751448093,5475819.1959469,0.0088263171758784,0.0052596606789713,409.9206485995613,405617.0753006778,975703062.2076588,521632640.1578145,1006635713.3891191,,0.0615038486832045,0.0756404869869123,41211740468457.0,41015841728828.0,2.86270790859211,1.639930522129,1669.85204843258,0.0402536040856166,0.799958475422,46443.0,43579.0,528.2418537969803
2016-05-26,24821.0,78.82867689058291,76.40733591414926,82.8261176,80.28198924,4363282.881922101,3886771.969784205,0.0087089823190693,0.0052613198493278,445.4383186737706,401863.7865253543,976412268.0152408,523085327.263169,1007354676.962652,,0.0613499873965879,0.0756384404017782,41788476400851.0,41950285242070.8,2.92344268593708,1.59100134075,1733.24406047516,0.0398487600630421,0.79951979968,51147.0,49843.0,325.8754438546994
2016-05-27,20485.0,69.77096756755002,67.62870876267888,34.67807425,33.61331319,6678758.473448637,6938530.664440702,0.008689268504344,0.0047070385392168,425.8262923241253,362662.91155417386,873909238.0909089,498023571.4791648,901591856.8220776,,0.0653857491961493,0.0761021172726513,43043342774845.0,41742234718648.4,2.92090289484695,1.437051334248,1726.58081058726,0.0401775018841296,0.799856490437,49006.0,49361.0,610.318955013014
2016-05-28,29324.0,72.75201868874886,70.51912625321422,39.94058041,38.71473099,7378012.594443795,4468950.236426484,0.0137064757822912,0.0058295200115281,961.4818631760292,384716.8532028161,926296108.6132064,515611304.12694967,955626017.8715948,,0.0639220451143799,0.0761711526188687,43690635491406.0,42703696493831.0,2.97501644420632,1.496711510683,2435.93603588636,0.0401574846396872,0.800172932307,70148.0,51961.0,517.4883522391873
2016-05-29,19701.0,75.50712314398645,73.19059172103454,98.19171155,95.1792251,4185197.210818952,2837968.4900943185,0.0104659471504553,0.0052004437642899,480.2823147346401,396323.43540439423,966310912.9710292,519773179.3409749,996895302.8714514,,0.0640664440174829,0.0761565146764839,43676717675673.0,43618542041732.8,3.0316619819104,1.513056807135,1675.38143642726,0.0397075953662813,0.799951324571,45890.0,39764.0,323.33221750643565
2016-05-30,18014.0,77.32026729678249,74.94905193318654,110.35690873,106.97254384,3384688.195088448,1762783.644805067,0.0094103536559522,0.0053259610119696,403.95825138929376,406282.6076032962,990039548.6188996,521809857.3187275,1021362119.454692,,0.0573580736539976,0.0759972345217429,43411758669769.0,43392447615367.0,3.01801952888602,1.55808965131,1543.33011486599,0.0397389565973533,0.799641941423,42927.0,38939.0,330.9530854667034
2016-05-31,18729.0,86.93455565220607,84.2695378249051,100.84089504,97.74957213,3816962.321277588,3684986.313718101,0.0098593144377701,0.0058996315295382,437.6155306351562,443320.4084811338,1097121683.7445693,527171284.7515008,1131818074.8885777,,0.0595661080346169,0.0762734493770856,41329660079004.0,43586142396051.2,2.9948221762803,1.713298134009,1593.73349056604,0.0391302103029322,0.799544719554,44386.0,40056.0,365.5951337754428
2016-06-01,18033.0,86.74402999922218,84.08591336009385,121.93224103,118.1958442,2639691.1716334093,2169894.9094540696,0.0102816828807546,0.0058435520688603,434.1029329086471,447715.8393584309,1087140179.8840578,528292372.5117936,1121506761.4640138,,0.0550965422745448,0.0762962185334295,42217059433525.0,42000407824271.3,2.93611890940293,1.764879573602,1562.13644643153,0.0398822148732872,0.79904992355,42221.0,37923.0,296.909709470288
2016-06-02,17774.0,86.79184783988173,84.13332731344993,187.0307971,181.30185798,2170611.0978255267,1570524.2708372904,0.0090150777621169,0.0058077358584687,357.5920745123279,445371.03099763975,1080921910.2805665,529741043.2250628,1115077852.7318208,,0.0529014592254163,0.0762993822446277,44686670530369.0,42903044759328.4,3.01547171359964,1.709436463942,1453.2371541502,0.0399087326353844,0.798985808793,39666.0,37700.0,199.62224544017468
2016-06-03,17209.0,88.83259136408127,86.11264936608835,156.18182169,151.39973114,1402611.857372872,2499007.5991834085,0.008801509292801,0.0058340408674225,350.5993211696199,448629.7915976529,1086266014.8377073,530308608.508375,1120576659.9810092,,0.0528823113082449,0.0761315093638404,45487381622724.0,44992049996386.2,3.13997357281376,1.653668197957,1428.59927019406,0.0400043306527623,0.798055565283,39834.0,37995.0,229.38604291007505
2016-06-04,16879.0,88.69050788800855,85.97599783319359,219.49204037,212.77414727,1300554.4445425093,1435996.8855486307,0.0088353738084323,0.0057640830929281,334.63978299453845,441445.6802271436,1073681376.7217982,553628490.3750391,1107580592.389332,,0.0528087688485631,0.0760313632710061,44725095341350.0,44999428189553.2,3.13364314809858,1.630474422631,1408.99185505319,0.0398265411542253,0.797984829146,37875.0,34955.0,183.62029341267188
2016-06-05,16846.0,90.81220380872809,88.03384327121955,210.19158161,203.76086006,1814976.606229208,1541023.2325515342,0.0087644795192567,0.0058517301669783,332.13871586192573,440370.05616812006,1090447520.5635982,558485423.5077555,1124862198.450874,,0.0518804255956947,0.0760277147802054,44212135847742.0,44880971424896.4,3.09936237907698,1.644491681419,1396.07479456649,0.0391192732814975,0.797297313317,37896.0,36047.0,176.84890265380918
2016-06-06,18113.0,92.35977102714696,89.53519588057515,178.79474231,173.32678608,1514786.3337967151,2058156.4654577724,0.0092899300172608,0.0058764471873524,361.9078036826416,453294.3215967176,1095506375.1258054,560257067.5217505,1130066416.567147,,0.0518611211022549,0.0760324403247838,46774225899753.0,45278057471813.7,3.20056828497444,1.639228283348,1425.63408644401,0.0400801587546445,0.796924403748,38957.0,36786.0,203.47047203395704
2016-06-07,21757.0,96.01893869275408,93.08361874757124,102.35555439,99.22652271,3983463.300085895,1847711.4962376228,0.0212597982063382,0.006332503930926,980.9483490389392,465360.5247560993,1138633596.836201,572531715.0672082,1174539526.923774,,0.05205879915892,0.0760154489765146,45212609794627.0,46207450596923.6,3.2047111463988,1.68068725655,1692.57679465776,0.0395371603732496,0.796424138994,46141.0,41685.0,367.7233925961256
2016-06-08,18505.0,94.00734364714188,91.13466707051616,39.82223083,38.60534303,7314821.254640943,2539431.921212609,0.0101983806455345,0.0060915414999064,412.3511246411073,468923.9575789444,1136536800.5854475,578424143.4938778,1172361835.6732333,,0.0518524784218835,0.0759400182149217,46749054753038.0,45850620155154.5,3.23306675865656,1.678703542262,1436.94697094073,0.0399630551079189,0.797631521232,40433.0,38902.0,808.3567557749299
2016-06-09,17937.0,94.15911260589972,91.28294493670283,210.76264097,204.32472246,1251193.4274664412,1469585.0797381515,0.0104976481320568,0.0060812662985856,418.3732686551882,467024.34388550336,1135086298.3110042,579902605.737834,1170850903.7935972,,0.0519022662885701,0.0758604112758042,48767093061119.0,48157817866210.7,3.39536836734254,1.59198465843,1476.50525279055,0.0398518691923138,0.796765255827,39854.0,37390.0,180.1333367897437
2016-06-10,18752.0,91.19767836670138,88.41304331405016,98.30328919,95.30169102,1045460.7793280708,1503372.732965239,0.0100408838124514,0.005858781162817,403.09128065106415,435127.7050102016,1093993515.8580787,589507237.0209434,1128449661.4384384,,0.0521225134393878,0.0758387095782152,44780035018104.0,46862157371591.3,3.20202856174892,1.572815542507,1437.32141646899,0.0385240590329395,0.79668092264,40145.0,37452.0,339.2712922422364
2016-06-11,15665.0,94.52991389198036,91.64468674538364,182.55736554,176.98537837,1432817.843922945,1479039.8228120315,0.0104982267963437,0.0059764238012857,387.3950670120849,461023.372271845,1116421226.572604,596190594.7025568,1151569241.6331315,,0.052140878348305,0.0757137087663872,47421244465258.0,46817185510804.9,3.31526370997788,1.609500518615,1381.52469741577,0.0400007190667552,0.796503529585,36901.0,33954.0,221.7526480838432
2016-06-12,19526.0,104.98118507929284,101.84307626775797,84.96590027,82.42609049,5422887.98694125,4690776.4436976025,0.0108038607796987,0.0066251472066276,460.0391958606101,508713.3337543083,1238902461.9387305,622411493.0174944,1277076983.7120185,,0.0543495257157339,0.0759978437692704,48344689330853.0,47367807453291.8,3.32571159092685,1.77041383366,1462.55795548228,0.039798172000652,0.795896640927,42581.0,39781.0,471.6406634618835
2016-06-13,22543.0,117.34847066165948,113.8420732645984,81.33197061,78.90175393,5203094.538511623,4433075.957578551,0.0141225210402962,0.0074226701697194,652.2486342464618,570151.6468679138,1388608747.526207,652538470.6856118,1431378647.601246,,0.0565147631450699,0.0754210245178848,50012600487354.0,49146195319200.9,3.46226627591809,1.905970502674,1599.27284681131,0.0397867747425221,0.795844261113,46185.0,41318.0,512.2191106486442
2016-06-14,22750.0,123.19120345537422,119.51168433736436,67.70712385,65.68482315,7825432.739711063,6522569.717030618,0.0143203854602128,0.0078697473017884,720.8166021402056,603046.3307927026,1472848793.997264,672415243.2504176,1518194781.0904806,,0.0563731627089947,0.0753338014728768,50416542069026.0,49640268914919.0,3.46717655553445,2.013079746848,1713.38376139188,0.0396737969127998,0.795275080564,50335.0,44617.0,610.3346007801802
2016-06-15,19951.0,121.10200004542678,117.48630406403028,100.4330221,97.43443187,2370562.7999771964,3449549.5465907734,0.0129634332347947,0.0077319182693512,560.681450838452,587211.3507647974,1447640293.1301703,669172815.4333199,1492192100.5265944,,0.0543416922452798,0.0752432439148462,50130061650036.0,49733793897127.4,3.45875066460726,1.9649949736,1522.93224571333,0.0393146880423057,0.794219827246,43251.0,41180.0,414.6136819581286
